column_name,column_number,group,sub_group,storage_type,null_pct,description,derivation_or_source
issue_key,1,raw,Identity / Classification,object,0,Unique issue identifier (e.g. PROJ-123),Direct from Jira REST API
issue_id,2,raw,Identity / Classification,int64,0,Internal numeric Jira issue ID,Direct from Jira REST API
updated,3,raw,Temporal,object,0,"Timestamp of last field update (ISO 8601, UTC)",Direct from Jira REST API
issue_summary,4,raw,Identity / Classification,object,0,Issue title text (plain text),Direct from Jira REST API
statuscategorychangedate,5,raw,Temporal,object,19.6,Timestamp of last status-category transition,Direct from Jira REST API
created,6,raw,Temporal,"datetime64[ns, UTC]",42.6,"Timestamp of issue creation (ISO 8601, UTC)",Direct from Jira REST API
workratio,7,raw,Effort / Estimation,object,0,Ratio of time logged to original estimate; -1 = no estimate,Direct from Jira REST API; coerce -1 to null before analysis
resolutiondate,8,raw,Temporal,"datetime64[ns, UTC]",70.8,Timestamp of resolution; null for open issues,Direct from Jira REST API
resolution_name,9,raw,Lifecycle State,object,17.5,"Resolution label (e.g. Fixed, Won't Fix, Duplicate)",Direct from Jira REST API
votes,10,raw,Effort / Estimation,float64,0,Number of votes cast on the issue,Direct from Jira REST API
worklog_total,11,raw,Effort / Estimation,float64,0.9,Total seconds logged via worklogs,Direct from Jira REST API
issuetype_id,12,raw,Identity / Classification,int64,0,Internal Jira issue-type ID,Direct from Jira REST API
issuetype_name,13,raw,Identity / Classification,object,0,"Issue type label (Bug, Story, Task, Sub-task, Epic, Improvement)",Direct from Jira REST API
issuetype_hierarchyLevel,14,raw,Identity / Classification,float64,16.5,"Hierarchy level of the issue type (-1=Sub-task, 0=Issue, 1=Epic)",Direct from Jira REST API
project_id,15,raw,Identity / Classification,int64,0,Internal numeric Jira project ID,Direct from Jira REST API
project_key,16,raw,Identity / Classification,object,0,Jira project key (e.g. PROJ),Direct from Jira REST API
project_name,17,raw,Identity / Classification,object,0,Full Jira project display name,Direct from Jira REST API
priority_name,18,raw,Identity / Classification,object,13.3,"Priority label (Highest, High, Medium, Low, Lowest)",Direct from Jira REST API
priority_id,19,raw,Identity / Classification,float64,13.1,Internal numeric Jira priority ID,Direct from Jira REST API
status_name,20,raw,Lifecycle State,object,0,"Current status label (e.g. Open, In Progress, Done)",Direct from Jira REST API
status_id,21,raw,Lifecycle State,int64,0,Internal numeric Jira status ID,Direct from Jira REST API
status_statusCategory_name,22,raw,Lifecycle State,object,0,"Status category (To Do, In Progress, Done)",Direct from Jira REST API
Attachment Count,23,raw,Effort / Estimation,int64,0,Number of file attachments on the issue,Count of attachment objects in Jira API response
Subtask Count,24,raw,Relationship,int64,0,Number of direct sub-tasks,Count of subtask links in Jira API response
Issue Link Count,25,raw,Relationship,int64,0,Total number of issue links (inward + outward),Sum of inward and outward link objects
Has Epic Link,26,raw,Relationship,int64,0,1 if the issue is associated with an Epic; 0 otherwise,Boolean derived from epic_link custom field
